what,kind,bundleId,bundleVersion,description,time
startIde,ide,Unknown,,"[IDE] EDE-7.1.0",1413662402730
started,bundle,com.ebay.build.metadata.intf,3.6.0.201304170437,"com.ebay.build.metadata.intf",1413662402734
started,bundle,com.ebay.kernel.EbayToolBox,7.0.0.201304170437,"com.ebay.kernel.EbayToolBox",1413662402734
started,bundle,com.ebay.kernel.ede.clearcase.bridge,1.0.0.201304170437,"com.ebay.kernel.ede.clearcase.bridge",1413662402734
started,bundle,com.ebay.ptg.application.provider,3.4.5.201304170437,"com.ebay.ptg.application.provider",1413662402734
started,bundle,com.ebay.ptg.cal,3.4.5.201304170445,"com.ebay.ptg.cal",1413662402734
started,bundle,com.ebay.ptg.cal.provider,3.5.0.201304170437,"com.ebay.ptg.cal.provider",1413662402734
started,bundle,com.ebay.ptg.clearcase,3.6.1.201304170445,"com.ebay.ptg.clearcase",1413662402734
started,bundle,com.ebay.ptg.clearcase.marketplaces,3.4.1.201304170445,"com.ebay.ptg.clearcase.marketplaces",1413662402735
started,bundle,com.ebay.ptg.core,3.7.0.201304170445,"com.ebay.ptg.core",1413662402735
started,bundle,com.ebay.ptg.log4j.provider,3.4.3.201304170437,"com.ebay.ptg.log4j.provider",1413662402735
started,bundle,com.ebay.ptg.runtime,3.3.2.201304170445,"com.ebay.ptg.runtime",1413662402735
started,bundle,com.ebay.ptg.startup,3.2.2.201304170445,"com.ebay.ptg.startup",1413662402735
started,bundle,com.ebay.ptgdevtools.clearcase.interceptor,3.4.3.201304170445,"com.ebay.ptgdevtools.clearcase.interceptor",1413662402735
started,bundle,com.ebay.ptgdevtools.common,3.5.1.201304170445,"com.ebay.ptgdevtools.common",1413662402735
started,bundle,com.ebay.ptgdevtools.core.changesets,3.4.4.201304170445,"com.ebay.ptgdevtools.core.changesets",1413662402735
started,bundle,com.ebay.ptgdevtools.model,3.6.2.201304170445,"com.ebay.ptgdevtools.model",1413662402735
started,bundle,com.ebay.tools.applauncher,2.1.0.201109212241,"com.ebay.tools.applauncher",1413662402735
started,bundle,com.ebay.tools.buildplugin.provider,1.0.1.201304170437,"com.ebay.tools.buildplugin.provider",1413662402735
started,bundle,com.ebay.tools.common.util.ui,1.0.4.201302272228,"com.ebay.tools.common.util.ui",1413662402735
started,bundle,com.ebay.tools.core.common,2.1.0.201302272228,"com.ebay.tools.core.common",1413662402735
started,bundle,com.ebay.tools.core.ui,1.1.1.201302272228,"com.ebay.tools.core.ui",1413662402735
started,bundle,com.ebay.tools.dede,1.12.0.201111091744,"com.ebay.tools.dede",1413662402735
started,bundle,com.ebay.tools.dede.ui,1.12.0.201111091744,"com.ebay.tools.dede.ui",1413662402735
started,bundle,com.ebay.tools.ede.calprovider,1.4.14.201304170437,"com.ebay.tools.ede.calprovider",1413662402735
started,bundle,com.ebay.tools.ede.themis,1.0.0.201203151301,"com.ebay.tools.ede.themis",1413662402735
started,bundle,com.ebay.tools.server.core,1.0.7.201304170437,"com.ebay.tools.server.core",1413662402735
started,bundle,com.ebay.tools.server.ui,1.0.3.201304170437,"com.ebay.tools.server.ui",1413662402735
started,bundle,com.ebay.tools.soa.external,2.10.0.201304220542,"com.ebay.tools.soa.external",1413662402735
started,bundle,com.ebay.tools.ssdfinder,1.0.0.201304170437,"com.ebay.tools.ssdfinder",1413662402736
started,bundle,com.ebay.tools.v4.bizmo,5.0.0.201304232245,"com.ebay.tools.v4.bizmo",1413662402736
started,bundle,com.ebay.tools.v4.ebay.ui,5.0.0.201304232245,"com.ebay.tools.v4.ebay.ui",1413662402736
started,bundle,com.ebay.tools.v4.ui,5.0.0.201304232245,"com.ebay.tools.v4.ui",1413662402736
started,bundle,com.ebay.tools.validator.core,1.0.0.201304170445,"com.ebay.tools.validator.core",1413662402736
started,bundle,com.ebay.tools.vjet2.debug,1.0.1.201102120141,"com.ebay.tools.vjet2.debug",1413662402736
started,bundle,com.ebay.uede.adoptiontracking,1.3.1.R201302210034,"com.ebay.uede.adoptiontracking",1413662402736
started,bundle,org.eclipse.wst.jsdt.ui,1.1.4.v201102160540,"org.eclipse.wst.jsdt.ui",1413662402741
started,bundle,com.ebay.tools.vjet2.core,1.0.2.201102120141,"com.ebay.tools.vjet2.core",1413662403043
started,bundle,com.ebay.tools.vjet2.edeted.integ,1.0.0.201106030945,"com.ebay.tools.vjet2.edeted.integ",1413662403046
started,bundle,com.ebay.tools.vjet2.ui,1.0.2.201102120141,"com.ebay.tools.vjet2.ui",1413662403151
started,bundle,com.ebay.tools.wsm.rpm,1.0.0.201304170437,"com.ebay.tools.wsm.rpm",1413662403389
started,bundle,com.ebay.tools.wsm.rpm.eclipse,1.0.1.201304170437,"com.ebay.tools.wsm.rpm.eclipse",1413662405397
